"drug_name"	"original_smiles"
"LY-3023414"	"C[C@@H](CN1C2=C3C=C(C=CC3=NC=C2N(C1=O)C)C4=CC(=CN=C4)C(C)(C)O)OC"
"Indantadol"	"C1C(CC2=CC=CC=C21)NCC(=O)N.Cl"
"Acumapimod"	"CC1=C(C=C(C=C1)C(=O)NC2CC2)N3C(=C(C=N3)C(=O)C4=CC=CC(=C4)C#N)N"
"VASOPRESSIN TANNATE"	"C1CC(N(C1)C(=O)C2CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)N)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N"
"BKT140"	"C1C[C@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N2C1)CCCCN)CCCCN)CCCNC(=O)N)CC3=CC=C(C=C3)O)NC(=O)[C@H](CC4=CC5=CC=CC=C5C=C4)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)C6=CC=C(C=C6)F)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N)CCCNC(=O)N)CCCNC(=N)N)CC7=CC=C(C=C7)O"
"Ulixertinib"	"CC(C)NC1=NC=C(C(=C1)C2=CNC(=C2)C(=O)NC(CO)C3=CC(=CC=C3)Cl)Cl"
"Refametinib"	"COC1=CC(=C(C(=C1NS(=O)(=O)C2(CC2)C[C@@H](CO)O)NC3=C(C=C(C=C3)I)F)F)F"
"NAXIFYLLINE"	"CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)[C@H]3C[C@H]4C[C@@H]3[C@H]5[C@@H]4O5"
"INSULIN GLARGINE"	"CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)CO)CC(C)C)CC3=CC=C(C=C3)O)CCC(=O)N)CC(C)C)CCC(=O)O)CC(=O)N)CC4=CC=C(C=C4)O)C(=O)NCC(=O)O)C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC5=CC=CC=C5)C(=O)N[C@@H](CC6=CC=CC=C6)C(=O)N[C@@H](CC7=CC=C(C=C7)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N8CCC[C@H]8C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O)C(C)C)CC(C)C)CC9=CC=C(C=C9)O)CC(C)C)C)CCC(=O)O)C(C)C)CC(C)C)CC2=CNC=N2)CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC2=CNC=N2)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC2=CC=CC=C2)N)C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CO)[C@@H](C)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H]([C@@H](C)CC)NC(=O)CN"
"PLX-8394"	"C1CN(C[C@@H]1F)S(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=NC=C(C=C34)C5=CN=C(N=C5)C6CC6)F"
"Fruquintinib"	"CC1=C(C2=C(O1)C=C(C=C2)OC3=NC=NC4=CC(=C(C=C43)OC)OC)C(=O)NC"
"p-Chloromercuribenzenesulfonate"	"C1=CC(=CC=C1S(=O)(=O)O)[Hg]Cl"
"Anlotinib"	"CC1=CC2=C(N1)C=CC(=C2F)OC3=C4C=C(C(=CC4=NC=C3)OCC5(CC5)N)OC"
"ARQ-736"	"CN1C=CC(=N1)S(=O)(=O)N2CCC[C@H](C2)NC3=NC=CC(=N3)C4=C(N=C5N4C=CO5)C6=CC(=CC=C6)OCOP(=O)([O-])[O-].[Na+].[Na+]"
"LY-3009120"	"CC1=CC(=C(C=C1C2=C(N=C3C(=C2)C=NC(=N3)NC)C)NC(=O)NCCC(C)(C)C)F"
"ISOPROTERENOL SULFATE"	"CC(C)NCC(C1=CC(=C(C=C1)O)O)O.OS(=O)(=O)O"
"Irbinitinib"	"CC1=C(C=CC(=C1)NC2=NC=NC3=C2C=C(C=C3)NC4=NC(CO4)(C)C)OC5=CC6=NC=NN6C=C5"
"SERMORELIN ACETATE"	"CC[C@H](C)[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC2=CC=C(C=C2)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N)NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](CC3=CC=C(C=C3)O)N.CC(=O)O"
"TINZAPARIN SODIUM"	"C1=CC=C(C=C1)C=CC(=O)O"
"IMISOPASEM MANGANESE"	"C1CC[C@@H]2[C@@H](C1)NCCN[C@@H]3CCCC[C@H]3NCC4=CC=CC(=N4)CN2.Cl[Mn]Cl"
"ARUNDIC ACID"	"CCCCCC[C@@H](CCC)C(=O)O"
"XL-418"	"CC1=C(C=C(C=C1NCCN2CCCC2)C(=O)CCC(F)(F)F)N3CCN(CC3)C4=NC=NC5=NNC(=C54)Br"
"CUSTIRSEN"	"CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=S)([O-])OC3CC(OC3COP(=S)([O-])OC4CC(OC4COP(=S)([O-])OC5CC(OC5COP(=S)([O-])OC6CC(OC6COP(=S)([O-])OC7CC(OC7COP(=S)([O-])OC8CC(OC8COP(=S)([O-])OC9CC(OC9COP(=S)([O-])OC1CC(OC1COP(=S)([O-])OC1CC(OC1COP(=S)([O-])OC1C(OC(C1OCCOC)N1C=C(C(=NC1=O)N)C)COP(=S)([O-])OC1C(OC(C1OCCOC)N1C=NC2=C1N=C(NC2=O)N)COP(=S)([O-])OC1C(OC(C1OCCOC)N1C=NC2=C1N=CN=C2N)COP(=S)([O-])OC1C(OC(C1OCCOC)N1C=C(C(=NC1=O)N)C)CO)N1C=NC2=C1N=CN=C2N)N1C=NC2=C1N=C(NC2=O)N)N1C=CC(=NC1=O)N)N1C=NC2=C1N=CN=C2N)N1C=NC2=C1N=C(NC2=O)N)N1C=NC2=C1N=CN=C2N)N1C=NC2=C1N=C(NC2=O)N)N1C=C(C(=O)NC1=O)C)N1C=CC(=NC1=O)N)OP(=S)([O-])OCC1C(CC(O1)N1C=C(C(=O)NC1=O)C)OP(=S)([O-])OCC1C(CC(O1)N1C=CC(=NC1=O)N)OP(=S)([O-])OCC1C(CC(O1)N1C=NC2=C1N=CN=C2N)OP(=S)([O-])OCC1C(C(C(O1)N1C=C(C(=O)NC1=O)C)OCCOC)OP(=S)([O-])OCC1C(C(C(O1)N1C=C(C(=NC1=O)N)C)OCCOC)OP(=S)([O-])OCC1C(C(C(O1)N1C=NC2=C1N=CN=C2N)OCCOC)OP(=S)([O-])OCC1C(C(C(O1)N1C=C(C(=O)NC1=O)C)OCCOC)O.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+]"
"NEPIDERMIN"	"CC[C@H](C)[C@@H](C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CS)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC2=CNC3=CC=CC=C32)C(=O)N[C@@H](CC4=CNC5=CC=CC=C54)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O)NC(=O)[C@H](CC6=CC=C(C=C6)O)NC(=O)CNC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CS)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CS)NC(=O)[C@H](C)NC(=O)[C@H](CC7=CC=C(C=C7)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CC8=CC=C(C=C8)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CS)NC(=O)[C@H](C(C)C)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC9=CN=CN9)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CS)NC(=O)[C@H](CC1=CC=C(C=C1)O)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CS)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(=O)N)N"
"CHEMBL411250"	"C[C@H]([C@@H](C(=O)NCC(=O)N[C@@H](CCSC)C(=O)N1CCC[C@@H]1C(=O)N2CCC[C@@H]2C(=O)N[C@@H](C)C(=O)N[C@H](CC(=O)O)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](CC(=O)O)C(=O)N[C@H](CC3=CC=C(C=C3)O)C(=O)N[C@H](CO)C(=O)N4CCC[C@@H]4C(=O)N)NC(=O)[C@H](CC5=CC=CC=C5)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC6=CC=CC=C6)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC7=CNC8=CC=CC=C87)NC(=O)[C@H](CCSC)NC(=O)C)O"
"AZD-6738"	"C[C@H]1COCCN1C2=NC(=NC(=C2)C3(CC3)[S@@](=N)(=O)C)C4=C5C=CNC5=NC=C4"
"DELMITIDE"	"CCCC[C@H](C(=O)N[C@H](CCCC)C(=O)N[C@H](CCCC)C(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@H](CCCC)C(=O)N[C@H](CCCC)C(=O)N[C@H](CCCC)C(=O)NCC(=O)N[C@H](CC1=CC=C(C=C1)O)C(=O)N)NC(=O)[C@@H](CCCN=C(N)N)N"
"PEGNIVACOGIN"	"COCCOC(=O)NCCCCC(C(=O)NCCCCCCOP(=O)(O)O)NC(=O)OCCOC"
"Voruciclib"	"CN1CC[C@H]([C@@H]1CO)C2=C(C=C(C3=C2OC(=CC3=O)C4=C(C=C(C=C4)C(F)(F)F)Cl)O)O"
"COBALT (II) ION"	"[Co+2]"
"MLN-0415"	"C[C@@H]1CN(C[C@@H](O1)C)C(=O)CN2CC(OC[C@H]2C(=O)NC3=C4C(=CC(=C3)Cl)C5=C(N4)C=NC=C5)(C)C"
"DEPELESTAT"	"CC[C@H](C)[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N2CCC[C@H]2C(=O)N[C@H]3CSSC[C@H]4C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N5CCC[C@H]5C(=O)N[C@H](C(=O)NCC(=O)NCC(=O)N4)CC6=CC=C(C=C6)O)CC7=CC=CC=C7)CC(C)C)C(C)C)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]8CCCN8C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC3=O)[C@@H](C)CC)C)CC9=CC=CC=C9)CC2=CC=CC=C2)CCCNC(=N)N)CC2=CNC3=CC=CC=C32)C)CC2=CC=CC=C2)CC(=O)O)C)C(C)C)CCCCN)CCCCN)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N1)CC(C)C)CC(=O)N)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)N)C(=O)NCC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)O)CC1=CC=C(C=C1)O)CCC(=O)O)CCCNC(=N)N)CCC(=O)O)CCCCN)CCC(=O)O)CO)CC1=CC=C(C=C1)O)CC1=CC=CC=C1)CCCCN)CC(=O)N)CC(=O)N)CCC(=O)N)CCCNC(=N)N)C(C)C"
"DALOTUZUMAB"	"COC1=CC(=C(C=C1C(=O)NC2CCN3CCCC2C3)Cl)N"
"OXYTETRACYCLINE CALCIUM"	"C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O"
"SAR-260301"	"C[C@H]1CC2=CC=CC=C2N1C(=O)CC3=NC(=O)C=C(N3)N4CCOCC4"
"RG3487"	"C1CN2CCC1[C@@H](C2)NC(=O)C3=NNC4=CC=CC=C43.Cl"
"BISMUTH SUBSALICYLATE"	"C1=CC=C2C(=C1)C(=O)O[Bi]O2.O"
"INSULIN ASPART"	"CC[C@H](C)[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CS)C(=O)N[C@@H](CS)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CS)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC2=CC=C(C=C2)O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(=O)N)C(=O)O)NC(=O)CN.C[C@H]([C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)O)NC(=O)[C@H](CC1=CC=C(C=C1)O)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@H](CS)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC5=CN=CN5)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](CS)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC6=CN=CN6)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC7=CC=CC=C7)N)O"
"[3H]PYRILAMINE"	"[3H]C1=CC=C(N=C1)N(CCN(C)C)CC2=CC=C(C=C2)OC"
"SULINDAC"	"CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O"
"[125I]S70254"	"COC1=NC2=C(C=C1)NC(=C2CCNC(=O)C[125I])C3=CC=CC4=CC=CC=C43"
"COMPOUND 14J [PMID: 27050842]"	"CC1=CC(=NC(=C1)N)CCC2=CC(=CN=C2)CCCNC"
"COMPOUND 2C [PMID: 22115617]"	"CN(C)C1=NC2=C(N1CC(=O)O)C(=C(C(=C2Br)Br)Br)Br"
"CIS-3-ACPBPA"	"CCCCP(=O)([C@@H]1CC[C@@H](C1)N)O"
"COMPOUND 31 [PMID: 24915291]"	"CC1=C(C=C(C=C1)NC(=O)C2=CC(=CC=C2)C(F)(F)F)C(=O)NC3=CN=C(N=C3)NC4=CC(=CC=C4)NC(=O)C=C"
"OSTARINE"	"CC(COC1=CC=C(C=C1)C#N)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O"
"PGD2"	"CCCCC[C@@H](/C=C/[C@@H]1[C@H]([C@H](CC1=O)O)C/C=C\CCCC(=O)O)O"
"PD166285"	"CCN(CC)CCOC1=CC=C(C=C1)NC2=NC=C3C=C(C(=O)N(C3=N2)C)C4=C(C=CC=C4Cl)Cl"
"BTP2"	"CC1=C(SN=N1)C(=O)NC2=CC=C(C=C2)N3C(=CC(=N3)C(F)(F)F)C(F)(F)F"
"TGN4"	"CCCCCCCC(=O)O[C@H]1[C@H]2C(=C(C1=O)C)[C@H]3[C@]([C@H](C[C@]2(C)OC(=O)C)OC(=O)CCCCCCCCCCCNC(=O)CCC(C(=O)O)N)([C@](C(=O)O3)(C)O)O"
"EXAMPLE 98 [WO2011020806]"	"CC1=CC(=CN=C1C(=O)NC2=CC(=C(C=C2)F)[C@@]3(COCC(=N3)N)C)Cl"
"MECAMYLAMINE"	"CC1(C2CCC(C2)C1(C)NC)C"
"JAK3 INHIBITOR II"	"COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)O)Br)OC"
"COMPOUND 1D [PMID: 21493067]"	"CC1=CC(=NN1)NC2=C(C=C(C(=N2)N[C@@H](C)C3=NC=C(C=C3)F)C#N)F"
"RAVOXERTINIB"	"CN1C(=CC=N1)NC2=NC=CC(=N2)C3=CC(=O)N(C=C3)[C@H](CO)C4=CC(=C(C=C4)Cl)F"
"VTX-11E"	"CC1=CN=C(N=C1C2=CNC(=C2)C(=O)N[C@H](CO)C3=CC(=CC=C3)Cl)NC4=C(C=C(C=C4)F)Cl"
"ARI-3099"	"B([C@@H]1CCCN1C(=O)[C@@H](C)NC(=O)C2=CC=NC=C2)(O)O"
"COMPOUND 38 [PMID: 24915291]"	"CC1=C(C=C(C=C1)NC(=O)C2=CC(=CC=C2)C(F)(F)F)C(=O)NC3=CN=C(N=C3)NC4=CC(=CC=C4)NC(=O)CNC(=O)C=C"
"GUE1654"	"CSC1=NC2=C(S1)C3=C(C=C2)N=C(S3)NC(=O)C(C4=CC=CC=C4)C5=CC=CC=C5"
"TC-1698"	"CN(C)CCCN1C2=CC=CC=C2C(=NC3=C1N=CC=C3)C4=CC=CC=C4.C(=C/C(=O)O)\C(=O)O"
"PEPTIDE 18 [PMID: 24350995]"	"CC(C)C[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)NCC1=CC=C(C=C1)C(=N)N)NC(=O)C"
"COMPOUND 14K [PMID: 21982499]"	"C1=CC=C(C(=C1)NC2=C3C=CN=CC3=C4C=CC=C(C4=N2)C5=NC=NN5)Cl"
"PHCCC"	"C1C\2C1(OC3=CC=CC=C3/C2=N/O)C(=O)NC4=CC=CC=C4"
"HOMO-AMPA"	"CC1=C(C(=O)NO1)CCC(C(=O)O)N"
"COMPOUND 7 [WO2012007375]"	"CN(CCN)C1=NC=C2C(=N1)C(=CS2)C(=O)NC3=C(C=C4C(=C3)C=CC=N4)OC"
"HS-173"	"CCOC(=O)C1=CN=C2N1C=C(C=C2)C3=CC(=CN=C3)NS(=O)(=O)C4=CC=CC=C4"
"HX 531"	"CC1(CCC(C2=C1C=C3C(=C2)N(C4=C(C=C(C=C4)[N+](=O)[O-])N=C3C5=CC=C(C=C5)C(=O)O)C)(C)C)C"
"LY2087101"	"CC1=C(SC(=N1)NC2=CC=C(C=C2)F)C(=O)C3=CSC=C3"
"COMPOUND 5B [PMID: 25349648]"	"C1CC(CCC1C(=O)O)OC2CCN(CC2)C3=NC=C(C=C3)C4=NC5=C(N4)C=C(C=C5)C(F)(F)F"
"TP-472"	"CC1=C(C=C(C=C1)C(=O)NC2CC2)C3=C4N=CC=CN4C(=C3)C(=O)C"
"ML381"	"C[C@@H](C1=CC=CC=N1)N(C)C(=O)C2=NOC(=C2)COC3=CC=CC(=C3)C(=O)C"
"M826"	"CCCCCCN(C)CC(=O)C(CC(=O)O)NC(=O)C(CC)N1C=C(N=C(C1=O)NCC2=NON=C2C)C(C)(C)C"
"SERATRODAST"	"CC1=C(C(=O)C(=C(C1=O)C)C(CCCCCC(=O)O)C2=CC=CC=C2)C"
"MSX-2"	"CN1C(=NC2=C1C(=O)N(C(=O)N2CCCO)CC#C)/C=C/C3=CC(=CC=C3)OC"
"COMPOUND 1 [XIAO ET AL. 2014]"	"CS(=O)(=O)N1C2=CC=CC=C2C(=C1C3=C(C=C(C=C3)Cl)Cl)CN"
"COMPOUND 20 [PMID: 23489211]"	"C[C@H](CCC(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)O)[C@H]3CC[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@H]6[C@@]5(CC[C@H](C6)O)C)C"
"EGFR/ERBB-2/ERBB-4 INHIBITOR"	"CC#CC(=O)NC1=NC=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl"
"5-CT"	"C1=CC2=C(C=C1C(=O)N)C(=CN2)CCN"
"COMPOUND 14B [PMID: 25742366]"	"C1=CC=C(C(=C1)C2=CC(=CC=C2)CN3C(C(NC3=O)CCCNC(CCl)N)O)Cl"
"20-HETE"	"C(CC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O)CCO"
